OMRÅDE;CIVILSTAND;TID;INDHOLD
Hele landet;Ugift;2020K1;2844060
Region Hovedstaden;Ugift;2020K1;973802
København;Ugift;2020K1;412512
Frederiksberg;Ugift;2020K1;60781
Dragør;Ugift;2020K1;5844
Tårnby;Ugift;2020K1;19947
Albertslund;Ugift;2020K1;13795
Ballerup;Ugift;2020K1;22371
Brøndby;Ugift;2020K1;16245
Gentofte;Ugift;2020K1;35130
Gladsaxe;Ugift;2020K1;34731
Glostrup;Ugift;2020K1;11193
Herlev;Ugift;2020K1;13767
Hvidovre;Ugift;2020K1;26533
Høje-Taastrup;Ugift;2020K1;23532
Ishøj;Ugift;2020K1;10808
Lyngby-Taarbæk;Ugift;2020K1;27810
Rødovre;Ugift;2020K1;20055
Vallensbæk;Ugift;2020K1;7354
Allerød;Ugift;2020K1;10586
Egedal;Ugift;2020K1;18274
Fredensborg;Ugift;2020K1;17135
Frederikssund;Ugift;2020K1;18530
Furesø;Ugift;2020K1;17443
Gribskov;Ugift;2020K1;15993
Halsnæs;Ugift;2020K1;12656
Helsingør;Ugift;2020K1;27077
Hillerød;Ugift;2020K1;23306
Hørsholm;Ugift;2020K1;9677
Rudersdal;Ugift;2020K1;24690
Bornholm;Ugift;2020K1;15996
Christiansø;Ugift;2020K1;31
Region Sjælland;Ugift;2020K1;368715
Greve;Ugift;2020K1;21016
Køge;Ugift;2020K1;27189
Lejre;Ugift;2020K1;11553
Roskilde;Ugift;2020K1;41111
Solrød;Ugift;2020K1;9955
Faxe;Ugift;2020K1;15575
Guldborgsund;Ugift;2020K1;25908
Holbæk;Ugift;2020K1;32235
Kalundborg;Ugift;2020K1;21163
Lolland;Ugift;2020K1;17132
Næstved;Ugift;2020K1;38119
Odsherred;Ugift;2020K1;13011
Ringsted;Ugift;2020K1;16052
Slagelse;Ugift;2020K1;37269
Sorø;Ugift;2020K1;13232
Stevns;Ugift;2020K1;9085
Vordingborg;Ugift;2020K1;19110
Region Syddanmark;Ugift;2020K1;568126
Assens;Ugift;2020K1;17711
Faaborg-Midtfyn;Ugift;2020K1;22004
Kerteminde;Ugift;2020K1;9789
Langeland;Ugift;2020K1;4583
Middelfart;Ugift;2020K1;16533
Nordfyns;Ugift;2020K1;12701
Nyborg;Ugift;2020K1;13803
Odense;Ugift;2020K1;112490
Svendborg;Ugift;2020K1;26178
Ærø;Ugift;2020K1;2174
Billund;Ugift;2020K1;11719
Esbjerg;Ugift;2020K1;55014
Fanø;Ugift;2020K1;1258
Fredericia;Ugift;2020K1;23719
Haderslev;Ugift;2020K1;24806
Kolding;Ugift;2020K1;44898
Sønderborg;Ugift;2020K1;32107
Tønder;Ugift;2020K1;15874
Varde;Ugift;2020K1;21766
Vejen;Ugift;2020K1;19285
Vejle;Ugift;2020K1;54448
Aabenraa;Ugift;2020K1;25266
Region Midtjylland;Ugift;2020K1;653428
Favrskov;Ugift;2020K1;21794
Hedensted;Ugift;2020K1;20301
Horsens;Ugift;2020K1;44353
Norddjurs;Ugift;2020K1;16360
Odder;Ugift;2020K1;9599
Randers;Ugift;2020K1;46936
Samsø;Ugift;2020K1;1281
Silkeborg;Ugift;2020K1;43672
Skanderborg;Ugift;2020K1;28692
Syddjurs;Ugift;2020K1;17996
Aarhus;Ugift;2020K1;208509
Herning;Ugift;2020K1;41719
Holstebro;Ugift;2020K1;27357
Ikast-Brande;Ugift;2020K1;18551
Lemvig;Ugift;2020K1;7900
Ringkøbing-Skjern;Ugift;2020K1;24254
Skive;Ugift;2020K1;20222
Struer;Ugift;2020K1;8562
Viborg;Ugift;2020K1;45370
Region Nordjylland;Ugift;2020K1;279989
Brønderslev;Ugift;2020K1;16246
Frederikshavn;Ugift;2020K1;24767
Hjørring;Ugift;2020K1;28574
Jammerbugt;Ugift;2020K1;16286
Læsø;Ugift;2020K1;593
Mariagerfjord;Ugift;2020K1;18168
Morsø;Ugift;2020K1;8740
Rebild;Ugift;2020K1;13553
Thisted;Ugift;2020K1;18696
Vesthimmerlands;Ugift;2020K1;16172
Aalborg;Ugift;2020K1;118194
